Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Oshi no Bishoujo ni Kokuhaku sareru Hanashi,7.20,203,5907,18491,768,1,Doujinshi,Unknown,Unknown,Publishing,"Oct  31, 2023 to ?","['Comedy', 'Girls Love']",['School'],,,"Suisei, Choco (Story & Art)",0,"[0, 0, 0]"
Ameiro Paradox dj - Candy Color Paradise,7.20,138,5978,26753,394,2,Doujinshi,1,Unknown,Finished,"Dec  28, 2014",['Boys Love'],[],,,"Natsume, Isaku (Story & Art)",0,"[0, 0, 0]"
Furohile Zero,7.20,198,,22083,567,9,Doujinshi,Unknown,Unknown,Publishing,"Aug  11, 2011 to ?",['Hentai'],[],,,"Kizuki, Aruchu (Story & Art)",0,"[0, 0, 0]"
Chu Berozu dj - Fukuyama-san,7.20,244,,13670,"1,219",9,Doujinshi,Unknown,Unknown,Publishing,"Jun  20, 2010 to ?",['Hentai'],[],,,"Fueta, Kishi (Story & Art)",0,"[0, 0, 0]"
Psychedelics,7.19,403,,13945,"1,185",1,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2010 to ?","['Boys Love', 'Comedy', 'Erotica']",[],,,"Psyche, Delico (Story & Art)",0,"[0, 0, 0]"
"Kakyuu Majutsushi, Inmon ni Somaru",7.18,162,,28753,337,11,Doujinshi,1,Unknown,Finished,"Aug  14, 2022","['Fantasy', 'Hentai']",[],,,Wagashi (Story & Art),1,"[1, 0, 0]"
Sukebe na Musume no Otoshikata Dosukebe na Obasan ga Shikonde Ageru,7.18,143,,27276,378,7,Doujinshi,1,Unknown,Finished,"Dec  3, 2021",['Hentai'],[],,,Kazuhiro (Story & Art),0,"[0, 0, 0]"
Haru Natsu Aki Fuyu dj - HaruNatsuAkiFuyu,7.18,618,6255,13497,"1,240",1,Doujinshi,1,3,Finished,"May  3, 2007",['Girls Love'],[],,,"Tsuda, Mikiyo (Story & Art), Eiki, Eiki (Story & Art)",0,"[0, 0, 0]"
Maid Kyouiku.: Botsuraku Kizoku Rurikawa Tsubaki (Maid Education: Fallen Aristocrat Rurikawa Tsubaki),7.17,148,,23119,520,10,Doujinshi,Unknown,Unknown,Publishing,"Apr  29, 2021 to ?",['Hentai'],[],,,Kyockcho (Story & Art),0,"[0, 0, 0]"
Interval dj - Garakuta Zoukangou Gougai 11,7.17,299,,20938,624,0,Doujinshi,1,1,Finished,Not available,"['Boys Love', 'Erotica']",[],,,"Itsuki, Kaname (Story & Art)",0,"[0, 0, 0]"
TSF Monogatari Append,7.16,728,,8525,"2,287",20,Doujinshi,Unknown,Unknown,Publishing,"Aug  11, 2013 to ?",['Hentai'],['Magical Sex Shift'],,,"Shindo, L (Story & Art)",0,"[0, 0, 0]"
Yoroizuka-san wo Baburasetai,7.15,295,6613,20385,654,6,Doujinshi,4,37,Finished,"Dec  29, 2018 to May  30, 2021","['Comedy', 'Girls Love']",[],,Galette meets,"Aoto, Hibiki (Story & Art)",0,"[0, 0, 0]"
Gal to Inkya no Kousai Shuukan.,7.15,197,,25838,423,5,Doujinshi,1,Unknown,Finished,"Nov  23, 2020",['Hentai'],[],,,Tamabi (Story & Art),0,"[0, 0, 0]"
