Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Suming Zhi Huan (Lord of Mysteries 2: Circle of Inevitability),,,34031,40343,150,16,Novel,Unknown,Unknown,Publishing,"Apr  1, 2024 to ?","['Action', 'Mystery', 'Supernatural', 'Suspense']",[],,,Ai Qianshui de Wuzei (Story),1,"[1, 0, 0]"
Koroshiya Series (The Assassins Series),,,34182,70242,21,0,Novel,Unknown,Unknown,Publishing,"Jul  30, 2004 to ?","['Action', 'Mystery']","['Organized Crime', 'Psychological']",,,"Isaka, Koutarou (Story)",0,"[0, 0, 0]"
Psycho-Pass 3,,,34390,64985,37,0,Novel,3,Unknown,Finished,"Nov  20, 2019 to Sep  18, 2020","['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective']",,,"Yoshigami, Ryou (Story)",0,"[0, 0, 0]"
Psycho-Pass 3: First Inspector,,,34391,64672,38,0,Novel,1,Unknown,Finished,"Sep  17, 2021","['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective']",,,"Kanan, Len (Story)",0,"[0, 0, 0]"
Shousetsu Gekijouban Psycho-Pass: Providence,,,34392,58389,55,0,Novel,1,11,Finished,"Feb  9, 2024","['Action', 'Mystery', 'Sci-Fi']","['Adult Cast', 'Detective']",,,"Fukami, Makoto (Story)",0,"[0, 0, 0]"
Maydare Tensei Monogatari,,,34471,65822,35,1,Novel,Unknown,Unknown,Publishing,"Oct  15, 2019 to ?","['Fantasy', 'Romance']",['Reincarnation'],,,"Yuuma, Midori (Story)",0,"[0, 0, 0]"
Overgeared,,,34527,47272,99,9,Novel,Unknown,Unknown,Publishing,"Jan  10, 2014 to ?","['Action', 'Fantasy']",['Video Game'],,,"Park, Saenal (Story)",0,"[0, 0, 0]"
Wu Dong Qian Kun (Martial Universe),,,34580,64673,38,0,Novel,18,540,Finished,May  2012 to Nov  2015,"['Action', 'Adventure', 'Fantasy']","['Martial Arts', 'Mythology']",,,Tian Can Tudou (Story),0,"[0, 0, 0]"
I'm Not the Final Boss' Lover,,,34892,72222,10,0,Novel,3,27,Finished,"May  31, 2021","['Fantasy', 'Romance']",['Isekai'],,,Ken (Story),0,"[0, 0, 0]"
The Return of the 8th Class Mage,,,34914,69008,25,0,Novel,7,76,Finished,"Apr  13, 2017 to Oct  26, 2017","['Action', 'Fantasy']",['Time Travel'],,,Ryu Song (Story),0,"[0, 0, 0]"
Sasaki Jimusho Series,,,34972,71952,12,0,Novel,Unknown,Unknown,Publishing,"May  21, 2021 to ?","['Mystery', 'Supernatural']",['Detective'],,,"Roka, Kouen (Story)",0,"[0, 0, 0]"
Shousetsu Gekijouban Mononoke: Karakasa,,,35064,47898,95,1,Novel,1,5,Finished,"Jun  13, 2024","['Horror', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Mythology']",,,"Atarashi, Yasumi (Story)",0,"[0, 0, 0]"
Kono Hon wo Nusumu Mono wa (Whoever Steals This Book),,,35126,42926,128,0,Novel,1,5,Finished,"Oct  8, 2020","['Fantasy', 'Mystery']",[],,,"Fukamidori, Nowaki (Story & Art)",0,"[0, 0, 0]"
Children of the Rune: Winterer,,,35374,72724,6,0,Novel,7,21,Finished,"Jul  27, 2001 to Sep  25, 2002","['Action', 'Adventure', 'Fantasy']",[],,,"Jeon, Min-hee (Story)",0,"[0, 0, 0]"
Xiao Mogu (Little Mushroom),,,35422,36958,187,21,Novel,2,59,Finished,"Jul  1, 2020","['Boys Love', 'Sci-Fi']",['Psychological'],,,Yishisi Zhou (Story),1,"[1, 0, 0]"
R no Techou Second (The Pocketbook of R Second),,,35644,72778,5,0,Novel,2,12,Finished,"Apr  23, 2015 to Jun  4, 2015","['Adventure', 'Fantasy']",[],,,"Suzuki, Jirou (Art), Tsukishima, Souki (Story)",0,"[0, 0, 0]"
Alice to Therese no  Koujou (Maboroshi),,,35693,62889,43,0,Novel,1,Unknown,Finished,"Jun  13, 2023",['Drama'],[],,,"Okada, Mari (Story)",0,"[0, 0, 0]"
Cang Lan Jue (Love Between Fairy and Devil),,,35694,70661,19,0,Novel,1,Unknown,Finished,Jul  2015,"['Comedy', 'Fantasy', 'Romance']",[],,,"Jiu Lu, Fei Xiang (Story)",0,"[0, 0, 0]"
A Ranker's Guide to the Good Life,,,35991,72493,8,0,Novel,Unknown,Unknown,Publishing,"Oct  10, 2023 to ?","['Fantasy', 'Romance']",['Reverse Harem'],,,Teze (Story),0,"[0, 0, 0]"
The Perfect Plan for a Fairy-Tale Ending,,,36219,72785,5,0,Novel,3,13,Finished,"Jun  30, 2023","['Fantasy', 'Romance']","['Isekai', 'Villainess']",,,Peach Pie (Story),0,"[0, 0, 0]"
"Boku wa Ashita, Kinou no Kimi to Date suru",,,36243,72787,5,1,Novel,1,6,Finished,"Aug  20, 2014","['Drama', 'Romance']",[],,,"Nanatsuki, Takafumi (Story)",0,"[0, 0, 0]"
Shousetsu Futari wa Precure,,,37919,35703,203,0,Novel,1,6,Finished,"Sep  16, 2015","['Action', 'Comedy', 'Fantasy']",['Mahou Shoujo'],,,"Kanehiro, Aki (Story)",0,"[0, 0, 0]"
Shousetsu Heartcatch Precure!,,,37920,35127,212,1,Novel,1,5,Finished,"Sep  17, 2015","['Action', 'Comedy', 'Fantasy', 'Slice of Life']",['Mahou Shoujo'],,,"Yamada, Takashi (Story)",0,"[0, 0, 0]"
Aldnoah.Zero: Extra Episode,,,38042,67841,29,1,Novel,2,Unknown,Finished,"Nov  26, 2014 to May  27, 2015",['Sci-Fi'],"['Mecha', 'Military']",,,"Takayama, Katsuhiko (Story), Sekine, Ayumi (Story)",0,"[0, 0, 0]"
Karadasagashi,,,38351,41577,139,4,Novel,8,44,Finished,"Aug  24, 2013 to Jan  24, 2015",['Horror'],['School'],,,"Welzard (Story), Kamura, Low (Art)",0,"[0, 0, 0]"
Bravely Default: R no Techou (Bravely Default: The Pocketbook of R),,,38500,72685,6,0,Novel,2,12,Finished,"Dec  5, 2013","['Adventure', 'Fantasy']",[],,,"Suzuki, Jirou (Art), Tsukishima, Souki (Story)",0,"[0, 0, 0]"
Shousetsu Fresh Precure!,,,38909,61326,47,0,Novel,1,4,Finished,"Mar  17, 2016","['Action', 'Fantasy']",['Mahou Shoujo'],,,"Maekawa, Atsushi (Story)",0,"[0, 0, 0]"
Rean no Tsubasa,,,40416,67894,29,0,Novel,6,Unknown,Finished,1983 to  1986,"['Action', 'Fantasy', 'Sci-Fi']",['Mecha'],,,"Tomino, Yoshiyuki (Story), Kogawa, Tomonori (Art)",0,"[0, 0, 0]"
Umineko no Naku Koro ni: Saigo de Saisho no Okurimono,,,40476,57812,57,0,Novel,1,22,Finished,"Jun  19, 2008 to Dec  31, 2011","['Drama', 'Fantasy', 'Mystery', 'Supernatural']",[],,,Ryukishi07 (Story),0,"[0, 0, 0]"
Ginga Eiyuu Densetsu Gaiden,,,40526,26303,407,2,Novel,4,Unknown,Finished,Apr  1986 to Jul  1989,"['Action', 'Drama', 'Sci-Fi']","['Military', 'Space']",,,"Michihara, Katsumi (Art), Tanaka, Yoshiki (Story), Kasahara, Akira (Art)",0,"[0, 0, 0]"
Shousetsu Suite Precure♪,,,40836,60917,48,0,Novel,1,11,Finished,"Nov  23, 2016","['Action', 'Fantasy']","['Mahou Shoujo', 'Music']",,,"Oono, Toshiya (Story)",0,"[0, 0, 0]"
Shousetsu Smile Precure!,,,40837,56705,60,1,Novel,1,6,Finished,"Oct  4, 2016","['Action', 'Fantasy']","['Adult Cast', 'Mahou Shoujo']",,,"Kobayashi, Yuji (Story)",0,"[0, 0, 0]"
Monogatari Go! Princess Precure: Hana to Refi no Bouken,,,41249,65281,36,0,Novel,1,Unknown,Finished,"Mar  15, 2017","['Adventure', 'Fantasy']",['Mahou Shoujo'],Kids,,"Yamagata, Kaori (Story), Wagatsuma, Yasumi (Art)",0,"[0, 0, 0]"
Gangsta. Original Novel,,,42085,64424,39,0,Novel,1,7,Finished,"Jul  29, 2015","['Action', 'Drama']","['Adult Cast', 'Organized Crime']",,,"Kohske (Story), Kawabata, Junichi (Story)",0,"[0, 0, 0]"
Shinrei Tantei Yakumo: Another Files,,,44031,27196,380,1,Novel,6,26,Finished,"Jul  25, 2013 to Mar  24, 2020","['Mystery', 'Supernatural']",[],,,"Kaminaga, Manabu (Story), Suzuki, Yasushi (Art)",0,"[0, 0, 0]"
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,,,44303,9536,"1,976",21,Novel,17,Unknown,Finished,"Feb  23, 2013 to Mar  24, 2021",['Mystery'],[],,,"Tetsuo (Art), Ota, Shiori (Story)",0,"[0, 0, 0]"
Drag-On Dragoon 3: Story Side,,,45472,20087,671,14,Novel,1,5,Finished,"Aug  27, 2014","['Action', 'Adventure', 'Fantasy']",[],,,"Eishima, Jun (Story), Yoko, Taro (Story)",0,"[0, 0, 0]"
Ubume no Natsu (The Summer of the Ubume),,,50681,27657,367,4,Novel,1,7,Finished,Sep  1994,"['Horror', 'Mystery', 'Supernatural']",[],,,"Kyougoku, Natsuhiko (Story)",0,"[0, 0, 0]"
JK Haru wa Isekai de Shoufu ni Natta (JK Haru Is a Sex Worker in Another World),7.05,220,,20694,637,9,Novel,1,14,Finished,"Dec  6, 2017","['Fantasy', 'Erotica']",['Isekai'],,,"Hiratori, Kou (Story)",1,"[1, 0, 0]"
JK Haru wa Isekai de Shoufu ni Natta: Summer (JK Haru Is a Sex Worker in Another World: Summer),,,,46398,104,0,Novel,1,7,Finished,"Dec  4, 2019","['Fantasy', 'Erotica']",['Isekai'],,,"Hiratori, Kou (Story)",0,"[0, 0, 0]"
Osawagase Marriage,,,,72555,7,0,Novel,2,Unknown,Finished,"Dec  17, 2013 to Aug  20, 2014",['Erotica'],[],Josei,,"Shichifuku, Sayuri (Story)",0,"[0, 0, 0]"
