Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Hitomi kara Destiny,7.24,1505,5482,7189,"2,810",5,One-shot,Unknown,1,Finished,2008,"['Fantasy', 'Romance']",[],Shoujo,LaLa,"Tsukuba, Sakura (Story & Art)",1,"[1, 0, 0]"
Sasagu Omoi wa Hana Meguri,7.24,894,5487,10829,"1,676",2,One-shot,Unknown,1,Finished,"Apr  18, 2007","['Romance', 'Supernatural']",[],Shoujo,Ribon Bikkuri,"Kagami, Eri (Story & Art)",0,"[0, 0, 0]"
Oujisama no Yume Utsutsu,7.24,1321,5489,8740,"2,212",4,One-shot,Unknown,1,Finished,"Oct  10, 2006","['Fantasy', 'Romance']",[],Shoujo,LaLa DX,"Yukimura, Yuni (Story & Art)",1,"[1, 0, 0]"
Celeste Blue,7.24,2057,5491,5984,"3,483",5,One-shot,Unknown,1,Finished,2009,"['Drama', 'Romance']",['School'],Shoujo,,"Sakura, Amyuu (Story & Art)",0,"[0, 0, 0]"
Nanase-kun no Tenshoku,7.23,254,5530,22225,561,1,One-shot,Unknown,1,Finished,"Jun  22, 2021",['Supernatural'],[],Shounen,Shounen Jump+,"Akagi, Shun (Story & Art)",0,"[0, 0, 0]"
Unlucky Boy Undead Girl,7.23,2891,5557,4378,"4,957",32,One-shot,Unknown,1,Finished,"Jan  9, 2015","['Action', 'Drama', 'Romance', 'Supernatural']",[],Shounen,Bessatsu Shounen Magazine,"Tobita, Sou (Story & Art)",1,"[1, 0, 0]"
Kimi ga Terasu Koi no Hikari,7.23,733,5576,12754,"1,342",7,One-shot,Unknown,1,Finished,"Mar  22, 2012","['Boys Love', 'Romance']",[],,RuTiLe Sweet,"Takayama, Haruna (Story & Art)",0,"[0, 0, 0]"
Haru no Menuet,7.23,1104,5578,9289,"2,042",9,One-shot,Unknown,1,Finished,"Mar  29, 2014",['Girls Love'],['School'],,"Hirari,","Itou, Hachi (Story & Art)",1,"[1, 0, 0]"
Akuma Bengoshi Kukabara,7.23,2466,5633,5131,"4,137",12,One-shot,Unknown,1,Finished,2008,"['Action', 'Drama']",['Mythology'],Shounen,Sunday Gene-X,"Yoon, In-Wan (Story), Yang, Kyung-il (Art)",2,"[2, 0, 0]"
Lock On!,7.23,2722,5637,4831,"4,416",10,One-shot,Unknown,1,Finished,"Jun  29, 2009",['Comedy'],['School'],Shounen,Shounen Jump (Weekly),"Tsuchida, Kenta (Story & Art)",0,"[0, 0, 0]"
"Ishi ni Usubeni, Tetsu ni Hoshi",7.23,755,5653,11174,"1,609",3,One-shot,Unknown,1,Finished,"Apr  14, 2017","['Action', 'Comedy', 'Fantasy']",['Military'],Shounen,Jump SQ.Crown,"Endou, Tatsuya (Story & Art)",0,"[0, 0, 0]"
