Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Ayuta,6.18,338,18654,16279,942,10,Manga,1,Unknown,On Hiatus,"Mar  28, 2014 to Nov  30, 2015","['Comedy', 'Supernatural']",[],Seinen,Comic Birz,pako (Story & Art),0,"[0, 0, 0]"
U,6.18,233,18655,21306,606,15,Manga,1,11,Finished,"Nov  5, 2010 to Sep  6, 2012","['Horror', 'Romance', 'Sci-Fi']",[],,Manga Erotics F,"Kyou, Machiko (Story & Art)",0,"[0, 0, 0]"
1-nengo no Haru,6.18,176,18656,27643,367,0,One-shot,Unknown,1,Finished,"Apr  5, 2014",['Romance'],['School'],Shoujo,Margaret,"Adachihara, Hikari (Story & Art), Ono, Yurie (Story & Art)",0,"[0, 0, 0]"
Meteor Syndrome,6.18,201,18657,28990,331,0,One-shot,Unknown,1,Finished,"May  2, 2016","['Fantasy', 'Supernatural']",[],Shounen,Shounen Jump NEXT!,"Iwamoto, Naoki (Story & Art)",0,"[0, 0, 0]"
Junjou→←Haraguro Kareshi,6.18,365,18658,16519,921,0,Manga,1,6,Finished,"Jul  4, 2015 to Aug  5, 2015",['Romance'],['School'],Shoujo,Sho-Comi,Eringo (Story & Art),0,"[0, 0, 0]"
Mad Chimera World,6.18,1204,18659,6088,"3,422",12,Manga,4,21,Finished,"Apr  22, 2017 to Jan  22, 2019","['Action', 'Fantasy', 'Sci-Fi']",[],Seinen,Morning Two,"Kishimoto, Seishi (Story & Art)",3,"[3, 0, 0]"
Lily the Vicious Villainess,6.18,125,18681,20307,658,0,Manhwa,Unknown,85,Finished,"Apr  4, 2021 to Sep  11, 2022",['Fantasy'],['Time Travel'],,KakaoPage,"Eunrock (Story), Hemo (Art)",0,"[0, 0, 0]"
Shinu hodo Suki tte Itta jan.,6.18,339,18682,18652,757,1,Manga,Unknown,4,Finished,"Jan  6, 2023 to Jan  27, 2023","['Romance', 'Supernatural', 'Suspense']",['Psychological'],,Comic POOL,Sankaku. (Story & Art),1,"[0, 1, 0]"
Hydra,6.18,163,18680,32845,248,0,One-shot,Unknown,1,Finished,"Sep  20, 2024","['Drama', 'Supernatural']",[],Shounen,Shounen Jump+,"Kawabata, Iyu (Story & Art)",0,"[0, 0, 0]"
Becchin to Mandara (Velveteen & Mandala),6.18,2052,18660,4110,"5,309",58,Manga,1,14,Finished,"Jul  5, 2007 to Sep  4, 2009","['Action', 'Drama', 'Supernatural']",['Psychological'],,Manga Erotics F,"Matsumoto, Jiro (Story & Art)",9,"[3, 2, 4]"
Cecile no Kimochi,6.18,519,18661,17588,833,2,One-shot,Unknown,1,Finished,Jun  2006,['Romance'],[],Seinen,Young King OURs+,"Inugami, Sukune (Story & Art)",2,"[1, 1, 0]"
Banana no Nana,6.18,1491,18662,5465,"3,862",15,Manga,2,13,Finished,"Mar  30, 2010 to May  30, 2011","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Ecchi']",[],Shounen,Comic Blade,"Oniyazu, Kakashi (Story & Art)",3,"[1, 1, 1]"
Fuku Neko,6.18,549,18663,11232,"1,597",3,Manga,1,17,Finished,"Jun  29, 2009","['Comedy', 'Romance', 'Supernatural', 'Ecchi']",[],Seinen,Comic YA!,"Misa, Tomoko (Story & Art)",0,"[0, 0, 0]"
Sunu Sumu Muriku no Koibito,6.18,361,18664,15659,"1,000",4,Manga,2,6,Finished,2009,"['Boys Love', 'Romance']",[],Shoujo,Deluxe Betsucomi,"Taamo (Art), Nojima, Shinji (Story)",7,"[4, 0, 3]"
Mizu no Iro Gin no Tsuki,6.18,261,18665,19787,688,0,Manga,1,5,Finished,"Jul  7, 2005 to Jun  1, 2006",['Slice of Life'],[],Seinen,Morning,"Yoshida, Motoi (Story & Art)",1,"[0, 1, 0]"
All Nude,6.18,289,18666,18340,779,2,Manga,1,14,Finished,1986 to  1996,"['Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",['Psychological'],Seinen,Mr. Magazine,"Sugimura, Shinichi (Story & Art)",0,"[0, 0, 0]"
Aterui II-sei,6.18,147,18667,28161,352,0,Manga,1,6,Finished,Aug  2000 to Dec  2000,"['Action', 'Supernatural']",['Martial Arts'],Shounen,,"Hara, Tetsuo (Art), Takahashi, Katsuhiko (Story)",1,"[0, 1, 0]"
SS Sisters (Super Sadistic Sisters),6.18,1190,18668,4485,"4,807",15,Manga,5,31,Finished,"Feb  19, 2010 to Dec  29, 2012","['Comedy', 'Romance', 'Ecchi']",['School'],Seinen,Young King OURs GH,"Sano, Takashi (Story & Art)",1,"[1, 0, 0]"
Trans Venus,6.17,534,18700,13569,"1,229",9,Manga,2,10,Finished,Jul  2008 to ?,['Ecchi'],['Magical Sex Shift'],Seinen,Comic Ryu,"Tamaki, Hisao (Story & Art)",2,"[2, 0, 0]"
Armitage III,6.17,169,18701,18170,791,3,Manga,2,11,Finished,1995,"['Action', 'Comedy', 'Sci-Fi']",['Detective'],Shounen,Shounen Captain,"Ikegami, Tatsuya (Art), Ohtana, Zarae (Story)",1,"[0, 0, 1]"
Tonkaradani Monogatari,6.17,558,18702,16252,944,2,Manga,1,11,Finished,1953 to  1957,"['Adventure', 'Drama']",[],,,"Tezuka, Osamu (Story & Art)",0,"[0, 0, 0]"
Ningen Shikkaku,6.17,291,18692,15022,"1,063",20,Manga,1,4,Finished,"Jul  1, 2007",['Drama'],"['Historical', 'Psychological']",,,"Dazai, Osamu (Story), Variety Art Works (Art)",1,"[0, 0, 1]"
Dendou Darlin',6.17,158,18693,29317,323,0,Manga,1,7,Finished,"Apr  9, 2005",['Boys Love'],[],,,"Takahashi, Itsumi (Story & Art)",0,"[0, 0, 0]"
From A Different Dimension,6.17,191,18694,26320,406,0,Manga,1,3,Finished,1989,"['Mystery', 'Supernatural']",[],,,"Watari, Chie (Story & Art)",0,"[0, 0, 0]"
Natsu e no Tobira (The Doorway to Summer),6.17,443,18695,13766,"1,208",4,Manga,1,1,Finished,Oct  1975,"['Boys Love', 'Drama', 'Romance']",[],Shoujo,Hana to Yume,"Takemiya, Keiko (Story & Art)",0,"[0, 0, 0]"
Amai♥Jouji,6.17,713,18696,12940,"1,315",0,Manga,1,5,Finished,"Oct  26, 2006",['Romance'],[],Shoujo,Cheese!,"Sasaki, Yuna (Story & Art)",0,"[0, 0, 0]"
Kekkou Kamen,6.17,381,18697,13619,"1,222",3,Manga,5,30,Finished,"Aug  6, 1974 to Jan  6, 1978","['Comedy', 'Ecchi']","['Parody', 'School']",Shounen,Shounen Jump (Monthly),"Nagai, Go (Story & Art)",1,"[0, 1, 0]"
Meimu,6.17,278,18698,23239,515,0,One-shot,Unknown,1,Finished,"Jul  24, 2008",['Boys Love'],[],,Comic Magazine LYNX,"Shimotsuki, Kairi (Story & Art)",0,"[0, 0, 0]"
