Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Miracle☆Gift,6.58,333,15102,21077,617,0,Unknown,1,Finished,"Dec  9, 2015","['Comedy', 'Fantasy', 'Romance']",[],Robico (Story & Art),0,"[0, 0, 0]"
Sky Claw,6.58,353,15103,19606,698,3,Unknown,1,Finished,"Dec  31, 2016","['Action', 'Adventure', 'Fantasy']",[],"Shindou, Masaoki (Story & Art)",2,"[1, 1, 0]"
Now Loading...!,6.58,1461,15104,6325,"3,275",6,1,5,Finished,"Nov  18, 2016 to Mar  18, 2017","['Girls Love', 'Slice of Life']",[],Mikanuji (Story & Art),2,"[1, 1, 0]"
Tantei no Tantei,6.58,550,15105,9136,"2,091",4,2,22,Finished,"May  16, 2016 to May  22, 2017","['Action', 'Drama', 'Mystery']","['Detective', 'Psychological']","Kiyohara, Hiro (Art), Matsuoka, Keisuke (Story)",1,"[1, 0, 0]"
Yuki to Sumi,6.58,2236,15106,4123,"5,288",5,1,12,Finished,"Sep  27, 2016 to Sep  27, 2017","['Comedy', 'Romance']",[],Onio (Story & Art),2,"[1, 1, 0]"
Dekiai Yakuza ni wa Amayakasarenai! (I Won't Fall for the Infatuated Yakuza's Affections!),6.58,467,15107,9500,"1,988",14,3,18,Finished,"Mar  12, 2021 to Sep  15, 2022","['Comedy', 'Romance']",[],"Hirai, Runa (Story & Art)",1,"[1, 0, 0]"
Elf wa Yoru wo Omachikane (The Elf Sisters Can't Wait for the Night),6.58,371,15108,9590,"1,956",7,Unknown,Unknown,Publishing,"Sep  9, 2021 to ?","['Comedy', 'Fantasy', 'Romance', 'Ecchi']",[],"Bcoca (Art), Hozumi, Kei (Story)",1,"[0, 0, 1]"
Ayashimon,6.58,14156,15109,541,"34,189",224,3,25,Finished,"Nov  15, 2021 to May  30, 2022","['Action', 'Supernatural']",[],"Kaku, Yuuji (Story & Art)",22,"[16, 4, 2]"
Tiger & Dragon: Osananajimi 3-nin no Otawamure Biyori (Tiger and Dragon),6.58,382,15110,11608,"1,524",6,4,26,Finished,"Feb  4, 2022 to Mar  20, 2023",[],[],"Hoshino, Mizuki (Story & Art)",0,"[0, 0, 0]"
Leveling Beyond the Max,6.58,1595,15111,3516,"6,195",14,Unknown,Unknown,Publishing,"Nov  30, 2021 to ?","['Action', 'Fantasy']","['Isekai', 'Martial Arts']","Kim, Sangrok (Art), Haemugeuk (Story)",2,"[0, 0, 2]"
Lady Baby,6.58,1084,15112,5529,"3,801",19,Unknown,Unknown,Publishing,"Sep  7, 2018 to ?","['Fantasy', 'Mystery']",[],"Ju, Haeon (Story), Pinkmint (Art)",2,"[0, 1, 1]"
Athena Complex,6.58,177,15113,20675,637,3,Unknown,Unknown,Publishing,"Jun  2, 2016 to ?","['Action', 'Fantasy']","['Magical Sex Shift', 'Mythology', 'Reincarnation', 'School']",Kaisar (Story & Art),0,"[0, 0, 0]"
